,player_name,hand_id,starting_bankroll,net_earning,player_cards,play_cards_value,community_cards,WIN,T_CARDS,best_hand
11250,Babybear,1003396519,880,-50,2hTs,2T,JdQc9d9h9c,False,2H TS JD QC 9D 9H 9C,"('three-of-a-kind', '9')"
11251,Babybear,1003396663,870,-30,Kh3h,K3,7d7s4h4d9s,False,KH 3H 7D 7S 4H 4D 9S,"('two-pair', ['7', '4', 'K'])"
11252,Babybear,1003396868,795,-90,3hAh,3A,Jd5s5hTc6c,False,3H AH JD 5S 5H TC 6C,"('one-pair', ['5', 'A', 'J', 'T'])"
11253,Babybear,1003425361,715,15,TdAs,TA,4sKd7s7cKc,True,TD AS 4S KD 7S 7C KC,"('two-pair', ['K', '7', 'A'])"
11254,Babybear,1003425381,730,-30,4d4c,44,5cJhKc2cKd,False,4D 4C 5C JH KC 2C KD,"('two-pair', ['K', '4', 'J'])"
11255,Babybear,1003425724,605,75,7s7c,77,5d4d5h6s3s,True,7S 7C 5D 4D 5H 6S 3S,"('straight', '7')"
11256,Babybear,1003425786,680,-80,9s8h,98,Jc8cAh9h4d,False,9S 8H JC 8C AH 9H 4D,"('two-pair', ['9', '8', 'A'])"
11257,Babybear,1003458854,610,85,6cAh,6A,5c5hKs2dTc,True,6C AH 5C 5H KS 2D TC,"('one-pair', ['5', 'A', 'K', 'T'])"
11258,Babybear,1003458884,695,-70,Kh4c,K4,3cQc3sJsTs,False,KH 4C 3C QC 3S JS TS,"('one-pair', ['3', 'K', 'Q', 'J'])"
11259,Babybear,1003458920,625,265,QsTs,QT,Qc5cQdJh2h,True,QS TS QC 5C QD JH 2H,"('three-of-a-kind', 'Q')"
11260,Babybear,1003459457,890,200,Jd7d,J7,5h4d8c6s9d,True,JD 7D 5H 4D 8C 6S 9D,"('straight', '9')"
11261,Babybear,1003459537,1070,-120,QdJh,QJ,7h2sJd9s2h,False,QD JH 7H 2S JD 9S 2H,"('two-pair', ['J', '2', 'Q'])"
11262,Babybear,1003459647,990,-70,3hAs,3A,4sKh2cJs9h,False,3H AS 4S KH 2C JS 9H,"('high_card', 'J')"
